steamid,nJuegos,Indie,Action,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access,Massively Multiplayer,Sports,Violent,Racing,Multiplayer,Singleplayer,Gore,Puzzle,Horror,Shooter,FPS,First-Person,Survival,Difficult,Rogue-like,Platformer,Turn-Based Strategy,Psychological Horror,Action RPG,RTS,MMORPG,JRPG,Zombies
76561197960265924,28,0,26,7,5,4,2,4,0,1,0,0,1,18,13,2,1,0,22,21,20,1,0,0,1,0,0,0,0,0,0,1
76561197960265928,17,1,16,4,1,2,0,1,0,0,0,0,0,12,8,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,1
76561197960265929,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960265937,33,0,32,4,2,2,1,1,0,0,0,0,1,27,16,1,0,5,29,28,25,2,0,0,0,0,0,0,0,0,0,8
76561197960265940,3,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
76561197960265942,1038,430,541,358,294,130,235,73,20,38,18,12,21,286,521,31,133,64,174,161,159,34,56,27,81,56,11,31,67,16,9,28
76561197960265945,201,78,113,80,23,15,31,4,3,2,7,1,4,59,100,11,34,17,55,52,51,3,9,3,21,2,3,2,2,0,3,5
76561197960265948,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960265954,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960265957,109,14,82,38,2,9,16,3,0,0,3,3,5,37,66,7,5,11,51,53,54,2,5,1,6,0,0,2,0,0,0,6
76561197960265961,125,7,103,31,7,12,23,11,8,7,3,2,4,75,64,6,4,11,68,71,58,11,1,0,4,0,0,1,0,0,0,14
76561197960265973,18,0,18,5,0,0,0,0,0,0,0,0,0,12,9,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,2
76561197960265974,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960265980,27,1,22,6,2,2,0,0,0,0,1,0,1,19,16,0,1,0,20,20,20,0,0,0,1,1,0,0,0,0,0,3
76561197960265984,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960265988,34,5,27,12,5,1,4,1,2,0,0,0,0,20,16,0,1,0,22,22,23,2,0,0,1,0,0,1,3,0,0,2
76561197960265992,135,12,105,33,29,18,17,5,0,1,1,2,4,67,92,7,11,7,51,53,47,1,1,0,5,5,1,8,10,0,0,5
76561197960265993,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960265994,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960265999,257,45,148,93,60,16,29,6,2,2,9,1,13,86,147,8,15,11,46,41,44,2,11,1,30,28,4,5,26,1,4,2
76561197960266008,17,0,17,6,0,0,0,0,0,0,0,0,0,9,9,0,1,0,16,17,17,0,0,0,1,0,0,0,0,0,0,2
76561197960266010,353,145,214,140,48,30,43,6,7,0,4,15,16,85,152,25,44,21,77,62,50,7,15,3,33,7,6,3,6,0,6,11
76561197960266012,36,7,28,11,3,4,5,4,0,3,0,0,0,21,18,0,3,0,21,21,20,0,1,0,1,0,0,2,1,0,0,2
76561197960266020,30,0,30,4,6,6,2,2,0,0,0,0,1,18,12,1,1,2,23,26,23,0,0,0,1,0,0,0,0,0,0,2
76561197960266030,14,0,12,4,0,0,0,0,0,0,0,0,2,9,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266039,48,12,43,9,2,4,3,16,2,3,0,2,0,34,11,4,0,2,33,37,32,3,1,0,0,0,1,0,0,0,0,8
76561197960266042,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266043,14,0,14,4,0,0,0,0,0,0,0,0,0,10,6,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960266044,362,73,209,77,97,89,44,36,20,17,10,5,13,163,180,5,26,15,109,89,84,30,17,2,11,12,1,8,25,3,1,13
76561197960266049,27,1,25,5,0,0,8,0,2,1,1,0,0,15,10,0,2,0,19,22,18,1,0,0,1,0,0,1,0,0,0,2
76561197960266065,9,0,9,2,0,0,0,0,0,0,0,0,0,7,3,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,1
76561197960266066,15,0,15,4,0,0,0,0,0,0,0,0,0,10,8,0,1,0,14,15,15,0,0,0,1,0,0,0,0,0,0,1
76561197960266071,60,24,31,18,13,1,13,4,1,1,1,0,0,24,29,0,6,4,14,14,15,2,3,0,7,4,0,2,1,0,1,2
76561197960266072,44,2,30,10,14,0,3,4,0,2,0,0,0,31,26,0,2,0,22,23,23,0,0,0,1,4,0,0,8,2,0,1
76561197960266073,331,55,195,128,78,29,71,13,5,6,5,3,1,98,191,9,32,11,80,70,66,12,14,5,14,17,0,16,21,3,1,6
76561197960266090,26,3,23,7,1,0,0,0,0,0,0,0,0,13,16,0,2,0,21,22,24,0,0,0,1,0,0,0,1,0,0,2
76561197960266092,41,1,37,19,0,0,9,1,0,1,0,0,0,16,25,0,1,3,25,25,30,3,0,0,0,0,0,0,0,0,0,3
76561197960266099,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266102,15,1,14,4,0,0,0,0,0,0,0,0,0,10,7,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,1
76561197960266104,72,2,64,28,3,4,2,8,4,8,1,1,1,47,31,2,2,3,43,39,37,9,0,0,2,0,1,0,1,1,0,8
76561197960266113,22,2,20,6,3,0,3,3,0,0,0,0,0,13,10,0,0,0,14,14,14,0,0,0,0,1,0,1,0,0,0,1
76561197960266120,31,9,23,10,1,4,1,1,0,0,0,0,0,12,16,0,10,2,19,20,24,1,4,0,1,0,0,0,0,0,0,4
76561197960266124,11,0,11,2,0,0,0,0,0,0,0,0,0,9,5,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,1
76561197960266130,153,10,132,29,10,4,29,12,3,3,2,5,8,69,88,12,4,12,84,78,69,4,0,0,3,0,1,5,8,2,1,11
76561197960266131,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266137,197,37,111,45,60,44,15,7,4,5,7,3,6,89,102,6,10,10,56,54,65,14,8,6,4,13,2,0,18,0,0,7
76561197960266142,147,49,102,52,11,16,8,5,10,4,6,1,10,37,52,3,24,11,39,47,33,10,6,3,21,0,2,2,1,0,1,7
